**banking___survey___at_current_exchange_rate,unnamed:_1,2014,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13,2015,unnamed:_15,unnamed:_16,unnamed:_17,unnamed:_18,unnamed:_19,unnamed:_20,unnamed:_21,unnamed:_22,unnamed:_23,unnamed:_24,unnamed:_25,2016,unnamed:_27,unnamed:_28,unnamed:_29,unnamed:_30,unnamed:_31,unnamed:_32,unnamed:_33,unnamed:_34,unnamed:_35,unnamed:_36,unnamed:_37,2017,unnamed:_39,unnamed:_40,unnamed:_41,unnamed:_42,unnamed:_43,unnamed:_44,unnamed:_45,unnamed:_46,unnamed:_47,unnamed:_48,unnamed:_49,2018,unnamed:_51,unnamed:_52,unnamed:_53,unnamed:_54,unnamed:_55,unnamed:_56,unnamed:_57,unnamed:_58,unnamed:_59,unnamed:_60,unnamed:_61,2019,unnamed:_63,unnamed:_64,unnamed:_65,unnamed:_66,unnamed:_67,unnamed:_68,unnamed:_69,unnamed:_70,unnamed:_71,unnamed:_72,unnamed:_73,2020,unnamed:_75,unnamed:_76,unnamed:_77,unnamed:_78,unnamed:_79,unnamed:_80,unnamed:_81,unnamed:_82,unnamed:_83,unnamed:_84,unnamed:_85,2021,unnamed:_87,unnamed:_88,unnamed:_89,unnamed:_90,unnamed:_91,unnamed:_92,unnamed:_93,unnamed:_94,unnamed:_95,unnamed:_96,unnamed:_97,2022,unnamed:_99,unnamed:_100,unnamed:_101,unnamed:_102,unnamed:_103,unnamed:_104,unnamed:_105,unnamed:_106,unnamed:_107,unnamed:_108,unnamed:_109,2023,unnamed:_111,unnamed:_112,unnamed:_113,unnamed:_114,unnamed:_115,unnamed:_116,unnamed:_117,unnamed:_118,unnamed:_119,unnamed:_120,unnamed:_121,2024,unnamed:_123,unnamed:_124,unnamed:_125,unnamed:_126,unnamed:_127,unnamed:_128,unnamed:_129,unnamed:_130,unnamed:_131,unnamed:_132,unnamed:_133,2025,unnamed:_135,unnamed:_136,unnamed:_137,unnamed:_138,unnamed:_139,unnamed:_140,unnamed:_141,unnamed:_142,unnamed:_143,unnamed:_144
,(KSHS M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov,Prov
,Vertical Check,0.645258401,0.642080011,-0.000656526,0.00025956,0.002341026,0.000337896,0.003543888,-0.00251366,-0.001646089,0.000834987,0.000987909,0.002324214,0.003219321,-0.00098677,-0.006292407,0.011041746,-0.002161876,-4.51E-05,0.002647132,0.001694718,0.007801635,0.00501322,0.820049301,0.003001638,-0.005832133,0.002278459,0.00215969,0.003103264,-0.001795393,0.000385441,-0.000720048,17.90358174,-2.45E-05,0.001004279,0.000566899,0.000497505,0.001579586,-0.000690844,-0.24820113,-0.253299757,-0.248861286,-0.408339386,-0.407764703,-0.408056822,0.205688843,0.1999452,0.200969063,0.054313234,0.053262393,0.053920575,0.053738626,0.053140951,0.05160798,0.053136285,0.053232134,220.1197226,220.1185738,220.1226028,220.1154366,258.1591954,220.1183538,220.1202804,220.1221851,220.1167581,220.1171459,220.1173768,220.1189309,220.1205415,220.4093314,220.1188997,220.5269274,220.1133014,220.1187836,220.119952,220.1194025,220.1194425,220.1183161,220.1170258,220.2046732,220.1186049,220.1174126,220.1180255,220.117793,220.2377773,220.1183459,220.119422,220.1183537,220.1183685,0.053123889,0.053490367,0.053133912,0.05312396,0.050870345,0.05314474,0.047862099,0.05313837,0.051593495,0.052403816,0.055113719,0.052702629,0.054393654,0.053121581,0.053101453,0.052085045,0.05207829,0.053135153,0.053144752,0.054138348,0.053142046,0.05317035,0.0516513,0.054140582,0.054240371,0.053131483,0.056127748,0.052104798,0.050966475,0.053126739,0.05311936,0.050438855,0.053646301,0.05219994,0.052273643,0.053370832,0.065881274,0.053180448,0.051144825,0.054157145,0.050131975,0.054142473,0.055152429,0.052934907,0.050728622,0.05308659,0.05313337,0.053604745,-4.946862399,332.4876695,0.053134819,0.053014127,0.052140173,0.05313356,0.053001113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ii)Microfinance Banks ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Foreign assets,,,,,,,,,,,,,"-2,334","-2,243","-2,249","-1,993","-1,891","-3,221","-3,263","-3,639","-4,697","-4,418","-4,912","-5,813","-5,837","-5,727","-6,514","-6,434","-6,593","-8,050","-7,124","-7,080","-7,110","-7,019","-6,844","-6,703","-6,768","-6,536","-6,575","-6,308","-6,143","-6,080","-6,121","-5,954","-6,029","-5,985","-5,759","-5,811","-5,850","-5,627","-5,648","-5,650","-5,660","-5,510","-5,405","-5,452","-5,479","-5,650","-4,913","-4,271","-4,397","-4,187","-4,308","-5,134","-4,616","-4,392","-4,276","-4,178","-4,050","-4,600","-4,432","-4,289","-4,049","-3,909","-3,835","-3,617","-3,140","-3,128","-2,955","-2,860","-2,975","-2,945","-2,820","-2,809","-2,498","-2,480","-3,017","-2,910","-2,718","-2,989","-3,011","-3,037","-2,955","-2,750","-2,812","-2,271","-2,443","-2,330","-2,252","-2,216","-2,450","-2,473","-2,531","-2,650","-2,641","-2,430","-2,330","-2,345","-2,370","-2,388","-2,410",-2486.298631,-2369.575963,-2335.475443,-2375.409252,-2330.816355,-2385.598581,-2198.766339,-2116.469342,-1902.699102,-1974.719031,-2103.589425,-2140.590098,-2084.915454,-2112.424447,-1533.069349,-1788.327683,-1761.294742,-1722.317672,-1874.155779,-1509.92952,-1356.78029,-2198.90262,-1366.061958,-1293.47603,-1754.374662,-1179.058877,-1470.265905,-1504.579859,-2060.101809,-2350.745181,-2315.752318,-2277.034932
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Domestic Assets,,,,,,,,,,,,,"29,046","29,596","30,261","31,413","30,367","41,113","41,974","41,448","41,767","41,781","43,912","44,272","44,496","45,009","46,812","45,576","45,464","46,820","45,903","45,719","45,344","45,465","45,605","45,536","45,359","45,441","45,519","45,826","45,622","45,471","45,753","45,255","44,650","44,521","43,821","43,414","44,197","44,250","44,401","44,884","44,471","44,567","44,958","45,230","45,617","45,957","45,193","44,257","44,932","44,879","45,018","45,800","45,826","46,187","46,367","46,110","46,061","47,039","47,784","46,971","47,186","48,407","48,475","48,545","48,278","48,509","49,704","49,819","50,921","50,809","50,792","50,424","50,556","50,573","51,794","51,852","51,698","52,653","52,838","51,783","51,659","51,556","51,472","50,923","51,439","51,273","51,069","49,697","49,496","48,833","48,987","49,011","48,514","48,276","48,184","47,067","46,953","46,606","46,725",46766.1684,47111.15926,46775.5513,47348.62075,47133.70722,46871.36144,46428.66493,45298.62986,44521.43411,44436.08902,44608.93465,44847.96126,44901.66359,44999.20816,43819.81021,43479.56283,43011.60532,43067.76336,43579.7323,43205.98114,43281.99781,43606.49661,43075.31071,42983.48187,42945.46497,43822.97236,43824.67949,44089.43008,44434.2891,45479.29156,45624.72629,45802.98777
,Domestic Credit,,,,,,,,,,,,,"43,709","44,423","43,113","45,511","46,386","47,042","48,305","49,289","49,949","50,402","51,228","50,883","50,710","51,545","52,848","52,719","52,469","52,580","53,245","54,182","54,206","53,962","53,766","52,862","52,475","52,121","53,001","51,885","51,481","51,278","51,066","51,267","51,035","50,753","49,999","49,175","49,186","49,760","50,441","49,874","49,856","50,138","52,273","50,400","50,579","51,569","51,508","51,288","51,549","53,206","53,751","54,392","55,011","54,984","55,082","55,540","55,560","56,310","56,082","55,603","55,735","56,398","57,164","56,109","55,796","56,346","56,701","56,931","56,857","56,662","56,505","55,581","55,747","56,362","55,740","56,650","55,205","55,179","55,270","54,752","54,541","54,309","53,685","52,913","53,654","53,001","52,788","52,580","51,775","51,689","54,748","54,324","54,115","54,092","54,663","53,345","53,888","51,448","51,775",52088.62754,51176.47559,51686.9896,51748.33616,51707.69158,51440.78957,51162.23404,50470.06887,49415.80558,49146.70857,48775.90477,48700.9245,47848.31432,47305.42273,46346.34899,46140.37105,45429.10745,45179.61982,44559.78747,43078.16991,42705.50785,41526.80497,41049.72392,40930.228,40413.8499,40349.32065,40670.52282,40393.36779,40330.49017,40249.10666,39770.38503,39745.02102
,Central Government (Net),,,,,,,,,,,,,567.0183031,566.7551875,741.4638808,560.4018497,607.5308771,431.6880004,430.8170301,429.9741511,429.1031785,428.2322059,427.3893292,426.5183566,464.1997637,450.5997637,448.9216162,548.1280424,747.2044495,746.3488757,"1,395","1,495","1,533","1,132","1,332","1,511","1,531","1,569","1,612","1,711","2,091","1,769","2,245","1,924","2,303","2,303","2,302","2,281","1,955","1,955","1,952","1,992","1,592","1,891","1,895","1,301","1,898","2,079","1,886","1,742","1,565","2,214","2,264","2,663","2,763","2,571","2,994","2,994","2,843","3,093","2,792","3,392","3,291","3,114","3,472","3,845","3,959","4,421","4,329","4,328","4,278","4,078","4,200","4,200","4,607","4,864","4,898","6,086","5,038","5,294","5,320","5,302","5,254","5,489","5,588","5,590","5,847","5,334","4,885","4,892","4,679","4,795","4,822","4,904","4,907","4,911","5,514","4,823","4,726","4,411","4,298",4458.462378,4431.90824,4310.873004,4349.17151,4345.055368,4351.889523,4366.493088,4345.184753,4364.220175,4385.274833,4387.629696,4372.86405,4367.556936,4375.80877,4337.371972,4329.276127,4319.460584,4322.71202,4329.43,4431.08484,4467.30471,4470.56169,4463.53327,4351.997047,4014.540502,4249.514871,4348.014716,4123.190099,3914.522032,3821.529822,3721.413408,3524.722438
,County Government (Net),,,,,,,,,,,,,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-200.2,-215.9379445,-215.9379445,-215.9379445,-215.9379445,-196.3072222,-196.3072222,-196.3072222,-196.3072222,-196.3072222,-196.3072222,-176.6765,-176.6765,-176.6765,-176.6765,-176.6765,-176.6765,-157.0457778,-157.0457778,-157.0457778,-157.0457778,-157.0457778,-157.0457778,-137.4150556,-137.4150556,-137.4150556,-137.4150556,-137.4150556,-137.4150556,-117.7843334,-117.7843334,-117.7843334,-117.7843334,-117.7843334,-117.7843334,-98.153608,-98.153608,-98.153608,-98.153608,-98.153608,-98.153608,-78.522885,-78.52288578,-78.52288578,-78.52288578,-77.812886,-78.52288426,-58.89216356,-58.89216356,-58.89216356,-58.89216356,-58.89216356,-58.89216356,-39.26144056,-39.26144056,-39.26144546,-39.26144056,-39.26144546,-39.26144056,-19.63074581,-19.63072324,-19.63072324,-21.92872324,-21.57672324,-19.63071834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Public Non Financial Corp (Net),,,,,,,,,,,,,-2.776,-3.317,-558.805,-30.76,-25.258,-28.787,-27.715,-51.234,-31.92788945,-31.14388945,-31.38888945,-101.1158895,-87.969,-94.09425945,-89.0379291,-106.6912394,25.70746801,135.2623147,70.85264123,88.07198812,96.14110127,115.3845156,125.8241027,140.3673163,15.28777358,33.56553786,41.32148135,27.71747905,-22.14213967,-24.28910413,-21.33502714,-21.91318018,-23.1293221,-18.33837116,-18.72073811,-23.85374059,-23.96954159,8.32545238,-26.88997887,-107.351587,-83.22014505,-87.81199091,-76.11835433,-894.9710289,"-1,674","-1,581","-1,565","-1,564","-1,561","-1,563","-1,567","-1,560","-1,561","-1,558","-1,452","-1,449","-1,533","-1,587","-1,573","-1,649","-1,556","-1,552","-1,533","-1,522","-1,518","-1,522","-1,503","-1,501","-1,504","-1,501","-1,494","-1,499","-1,506","-1,483","-1,488","-1,520","-1,495","-1,475","-1,511","-1,535","-1,027","-1,029","-1,103","-1,106","-1,076","-1,071","-1,066","-1,093","-1,077","-1,070","-1,057","-1,051","-1,046","-1,040","-1,076","-1,377","-1,402","-1,404","-1,379",-1368.189884,-1374.088761,-588.541266,-623.0142747,-613.1149002,-615.4016576,-638.6115963,-598.0535136,-753.3270929,-700.4515265,-716.5893014,-777.3298043,-773.9763814,-760.091131,-784.6670154,-801.5885594,-833.9719281,-814.5422721,-856.9988306,-837.4651108,-678.82873,-965.11721,-937.2809806,-821.593975,-809.2835314,-816.4019804,-792.8356522,-791.0214385,-789.7641308,-756.4395103,-745.8741809,-697.9785089
,Private sector credit ,,,,,,,,,,,,,"41,372","41,923","41,933","42,896","43,729","44,526","45,844","46,850","47,374","47,833","48,528","48,266","48,146","48,880","50,197","50,384","50,116","50,257","50,322","51,173","51,077","51,016","50,531","49,173","48,890","48,511","48,595","48,354","47,860","47,602","47,079","47,099","47,058","46,334","45,879","44,986","45,141","45,658","46,642","46,437","46,463","46,622","46,947","46,251","47,879","48,259","49,105","48,722","49,005","49,985","50,447","50,972","51,035","51,241","51,184","51,519","51,633","51,891","51,870","50,925","51,195","51,704","52,103","50,848","50,636","50,447","50,704","50,676","50,737","50,604","50,410","49,279","49,808","49,683","49,321","49,072","48,635","48,395","48,201","47,542","47,206","46,703","46,144","45,250","45,516","45,688","45,711","45,664","45,225","44,893","47,964","47,140","47,092","47,210","47,186","46,636","47,213","45,526","45,917",46149.701,45095.12059,44910.27063,44797.29965,45082.65278,44941.06814,44624.15536,44069.76905,43093.02393,42456.39916,42268.80436,41894.87003,40836.95056,40601.25663,40215.94312,39877.69141,39283.75003,39155.45547,38686.03848,36986.62193,36342.97814,35813.35339,35735.72455,35667.37113,35608.66067,35368.70103,35279.5892,35242.80914,35268.51436,35300.55917,35138.71141,34760.97419
,Credit to Other Financial Corporations(Net),,,,,,,,,,,,,108.0577355,195.9884029,-742.4016279,333.3480449,307.6518329,304.256159,263.8486849,324.0283348,226.5279971,201.3906458,289.8657966,245.5471723,198.174103,184.6670414,196.1177987,216.2076874,224.4020433,215.4893427,303.4865915,266.6239517,292.1979292,294.2296579,365.6946805,439.5988254,505.9391484,407.9638541,794.4285146,183.7701674,238.9409083,309.4594063,308.6166931,230.0091069,260.1505087,335.2960909,257.2634575,284.4397414,276.8140312,217.4009348,204.7263465,190.0375189,272.1908877,189.139679,"1,878","1,516",237.6436051,151.6559607,135.7221798,149.2468495,269.6552441,297.0730503,270.5189155,214.2899948,356.7433138,329.3394618,319.5614112,281.1565273,235.6189352,281.8955489,302.0834761,229.7101859,335.6610422,326.2356424,350.9099431,296.0523988,-4.602837779,312.1920977,328.1115373,474.7058761,698.8972859,693.2051269,711.8103455,671.0547683,328.341633,457.228967,493.5554168,483.2401094,330.1100741,334.7394809,270.1824148,304.1798648,249.6624157,273.6076436,288.9792534,364.6028287,384.626257,433.2653942,369.610703,368.5903968,361.8540866,473.8986758,487.009467,444.8776751,469.1415465,425.7187954,464.2860363,484.6594944,477.0693785,488.6784246,540.3767891,523.385822,542.9916766,538.699713,563.8421863,510.8820471,529.0495717,458.5128927,364.5311681,369.8938388,421.0733093,212.5314259,266.6769733,303.8285572,313.4014177,408.4783098,482.4141334,609.0597336,434.4306332,150.1181148,158.4544266,215.582,211.44912,145.9250928,199.516677,111.5949048,133.7111896,129.1275123,125.1946661,182.724103,139.3787706,135.6461581,211.4237534
,Credit to CBK(Net),,,,,,,,,,,,,"1,865","1,941","1,941","1,953","1,967","2,009","1,994","1,936","2,151","2,171","2,215","2,247","2,190","2,323","2,296","1,878","1,556","1,426","1,354","1,360","1,407","1,605","1,613","1,798","1,733","1,800","2,174","1,825","1,530","1,837","1,652","2,232","1,634","1,996","1,776","1,844","2,013","2,098","1,845","1,539","1,789","1,701","1,786","2,385","2,395","2,817","2,103","2,396","2,408","2,409","2,474","2,239","2,554","2,538","2,154","2,313","2,498","2,749","2,808","2,823","2,567","2,904","2,870","2,740","2,822","2,786","2,921","3,032","2,725","2,867","2,756","3,009","2,568","2,900","2,574","2,588","2,756","2,690","3,029","3,178","2,898","2,912","2,806","2,853","3,001","2,637","2,908","2,771","2,606","2,616","2,531","2,887","2,693","2,586","2,574","2,778","2,873","2,426","2,399",2325.268229,2480.543845,2515.687512,2661.037087,2382.216293,2234.183994,2351.684296,2288.63741,2341.994723,2584.412794,2623.528594,2943.843253,3113.954643,2775.047043,2169.222603,2252.577938,2050.80903,2081.563962,2251.199701,2339.473821,2358.47173,1996.55798,1641.821987,1532.937114,1488.337352,1413.795536,1706.627046,1693.195324,1754.493807,1744.078404,1520.488233,1945.879138
,Other Items (Net ) ,,,,,,,,,,,,,"-3,443","-3,526","-1,564","-2,996","-4,430","5,774","5,266","3,794","3,570","3,046","4,377","5,178","5,732","5,452","6,017","4,808","4,898","6,126","5,732","4,599","4,086","4,654","4,970","5,653","5,724","6,210","5,377","6,640","6,806","6,805","7,218","6,497","6,109","6,144","6,185","6,062","4,820","4,370","3,652","4,653","4,159","3,891","2,125","5,359","5,747","4,960","4,273","3,352","3,042","2,289","1,981","2,056","1,462","1,818","1,838","1,259","1,781","1,970","3,264","2,864","2,654","3,154","2,333","3,313","3,152","2,720","3,309","2,530","3,553","3,526","3,313","2,773","2,800","1,951","4,192","3,559","4,669","5,698","5,772","5,228","5,795","5,795","6,331","7,335","6,965","7,287","7,575","6,468","7,036","6,855","3,779","4,095","3,777","3,498","2,790","2,746","1,938","3,839","3,189",1818.19731,2706.843057,2787.722495,3222.724624,2943.729361,3018.387564,3114.291023,2499.699916,2770.169685,1873.46793,2365.916231,1868.774628,2272.901665,2577.261914,2920.117471,2515.960812,2423.905099,2737.149377,3504.538327,5013.918907,5266.600414,6400.099053,6254.824868,6087.109134,6337.074289,7147.984914,6640.76591,6859.786314,7033.049626,8195.121679,8678.856262,8680.855074
,Of which;  Capital Accounts,,,,,,,,,,,,,"11,220","11,301","11,288","11,102","11,589","11,703","11,596","11,634","11,751","11,668","11,693","11,789","11,947","11,988","12,054","11,951","11,903","11,886","13,074","13,062","12,948","13,151","13,132","12,979","12,840","12,890","12,859","12,700","12,665","12,613","12,532","12,509","12,495","12,376","12,363","11,823","9,809","9,881","9,692","9,643","9,544","9,463","9,440","10,529","10,708","10,573","10,587","10,383","9,659","10,616","10,714","10,648","10,647","10,616","10,553","10,688","11,280","11,242","11,562","11,496","11,203","11,145","11,023","10,877","10,670","10,557","10,306","9,642","9,489","9,379","9,025","7,930","7,991","7,740","8,138","8,357","8,176","8,224","8,204","8,196","8,677","8,548","8,544","9,325","9,180","9,016","9,294","9,351","9,315","9,711","9,540","9,409","9,378","9,314","9,269","9,024","8,872","8,681","8,239",7140.656453,6772.159396,7699.160788,7622.440029,7517.713726,7587.815696,7847.860136,7671.138924,7664.541155,6584.087473,6532.886358,5721.737866,5219.552397,4883.476489,5446.65625,5176.769034,4841.407226,4849.005836,4484.593499,4886.107672,4690.11045,4320.40741,4229.238084,4033.855257,3805.459221,3674.333205,3486.609249,3163.724026,2929.250695,2964.936771,2824.515004,2622.888323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deposits included in Broad Money,,,,,,,,,,,,,"26,712","27,353","28,012","29,420","28,476","37,891","38,711","37,809","37,071","37,363","39,001","38,460","38,660","39,285","40,298","39,142","38,871","38,770","38,779","38,639","38,234","38,446","38,761","38,833","38,591","38,905","38,944","39,517","39,479","39,391","39,632","39,300","38,621","38,535","38,062","37,603","38,347","38,622","38,753","39,233","38,811","39,057","39,553","39,778","40,138","40,307","40,280","39,986","40,535","40,705","40,706","40,666","41,210","41,795","42,092","41,932","42,010","42,438","43,351","42,682","43,137","44,498","44,640","44,928","45,138","45,381","46,749","46,959","47,946","47,864","47,973","47,616","48,058","48,094","48,778","48,942","48,980","49,665","49,826","48,747","48,704","48,805","48,659","48,651","48,996","48,942","48,817","47,481","47,046","46,360","46,456","46,360","45,873","45,846","45,854","44,722","44,583","44,217","44,315",44279.86977,44741.58631,44440.07585,44973.2115,44802.89086,44485.76286,44229.89859,43182.16051,42618.73501,42461.36998,42505.34822,42707.37116,42816.74813,42889.14192,42286.74115,41691.23525,41368.8413,41345.44569,41705.57651,41696.05149,41925.2175,41407.59402,41709.24874,41690.00615,41191.09028,42643.91349,42354.41357,42584.85018,42374.21727,43128.54738,43308.97398,43525.95282
,Vertical Check,0,0,0,0,0,0,0,0,0,0,0,0,-0.325670802,-0.171542604,0.000181119,-0.175089851,-0.00100671,0.000174158,-0.004002628,0.000597167,-0.000715903,-0.000608573,-0.000427,-1.205330974,-0.547869998,-2.783488044,-0.147163573,-0.037269133,-0.074865044,-6.96E-05,-0.000714601,-0.001802737,-0.001076492,0.002018031,0.000955422,-0.000738642,-3.08E-05,0.474946697,-0.000996751,1.00E-05,-6.70E-06,9.00E-06,6.15E-07,-2.99E-05,1.82E-05,-5.00E-07,-6.87E-06,-9.70E-07,3.85E-05,2.51E-07,-1.04E-05,-8.24E-08,-4.13E-05,-3.61E-06,8.00E-06,3.40E-06,-9.96E-07,-1.22E-09,-5.68E-06,0.051001461,3.44E-06,-12.69882844,4.068998727,1.00E-06,8.60E-07,3.90E-06,-2.38E-07,-0.000998984,0.00100031,0,-0.001999129,-3.33E-06,2.64E-06,-0.00200851,4.69E-06,0.000219418,2.09E-06,0.000411449,-3.55E-06,-7.70E-07,-4.41E-06,-2.81E-05,-4.04E-07,1.41E-06,-0.000637184,-0.000106814,4.54E-06,0.115929242,0.521748332,6.47E-06,-2.43E-06,6.61E-06,3.80E-06,-0.000121678,-0.002000578,-5.92E-06,2.90E-06,0.001203241,7.54E-05,-3.32E-06,-0.001000118,0.00200303,-1.31E-06,1.38E-06,-5.51E-06,-4.98E-05,-0.02700998,1.81E-06,6.91E-06,4.20E-06,-0.00276489,-1.48E-06,-0.00302094,9.72E-06,-2.95E-06,1.09E-06,-2.57E-06,-2.09E-06,3.20E-06,-1.20E-07,1.43E-05,-0.002996738,-1.00E-06,1.14E-06,-2.358213368,-0.00029385,-0.000103894,-118.5307155,-1.46E-06,5.98E-06,0.000130674,2.60E-05,-2.89E-05,3.96E-06,-0.00030563,2.43E-05,-1.57E-05,7.08E-06,3.45E-05,-0.0299824,-0.00100002,-1.19E-05,1.53E-05
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ii)Deposit Taking Sacco's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Foreign assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Net Domestic Assets,"180,961","179,239","177,517","182,195","186,872","191,549","193,434","195,319","197,204","200,127","203,051","205,974","208,945","211,917","214,889","217,653","220,417","223,181","223,382","223,583","223,784","227,876","231,969","236,061","238,707","241,354","244,000","247,118","250,236","253,355","255,111","256,868","258,624","263,333","268,041","272,749","265,412","272,266","270,606","278,903","284,793","287,859","288,858","290,824","293,004","307,482","305,706","306,988","311,775","312,928","317,667","322,545","321,037","323,676","321,980","329,809","328,502","344,532","342,360","342,296","340,399","345,222","352,803","356,350","358,470","362,420","364,641","367,632","370,696","378,534","376,515","381,081","381,275","390,131","396,485","404,295","402,952","406,123","407,426","413,341","418,580","427,757","429,120","431,094","434,040","441,874","447,418","452,642","451,450","454,803","459,390","461,433","464,217","471,513","471,942","473,302","480,656","490,053","497,187","499,668","501,292","503,811","512,376","513,264","514,373","516,912","522,346","522,440","529,082","527,581","542,157",542563.4877,544739.1201,548780.8288,555057.887,557811.454,558647.1178,570213.487,572003.1475,573642.3938,580923.7552,596545.0603,607784.6864,609338.7867,611918.6978,614932.7008,620717.2988,624974.8365,634014.9226,647817.9811,650413.6111,651831.9571,659386.514,676817.1379,683495.7166,687144.5612,690086.9689,695291.677,705884.7883,707678.4776,710996.9773,722646.749,725197.6212
,Domestic Credit,"216,339","210,783","205,226","209,229","213,232","217,236","221,223","225,210","229,197","234,804","240,411","246,019","245,521","245,024","244,526","246,430","248,334","250,238","252,559","254,879","257,200","259,951","262,701","265,452","264,148","262,845","261,541","264,633","267,725","270,818","275,074","279,330","283,587","287,688","291,788","295,889","301,634","304,506","299,528","307,067","313,875","316,408","319,789","327,976","332,750","333,214","338,529","343,452","344,645","349,936","351,479","353,037","354,530","356,308","359,667","373,325","372,501","376,141","381,601","386,040","388,081","387,679","389,231","392,182","394,867","398,918","403,213","408,949","413,994","418,268","422,137","431,166","438,298","440,690","443,190","446,353","437,787","439,672","445,652","458,902","470,634","477,926","483,782","489,146","493,676","496,813","498,413","499,388","504,078","507,435","515,204","519,005","524,279","530,175","535,726","539,173","541,897","544,405","547,279","554,047","560,167","564,252","568,533","574,619","584,508","594,003","603,385","612,840","621,456","626,158","627,227",631596.7959,637431.1989,639906.4727,645878.0655,656473.2739,665192.5647,669134.4922,677725.2912,683319.5926,690304.9291,697797.8294,698928.1489,704221.5867,711559.182,700322.1476,708714.6084,729496.0134,754037.8944,759770.6732,770140.2251,777162.775,781000.8266,788573.7006,789000.6977,798759.6838,805823.7117,811740.6637,822622.3246,842409.3237,852208.3061,862050.7581,872914.1734
